Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Sorrento Lodge,211 Ocean Beach Road,,SORRENTO,VIC,3943,Southern Metro,Residential,34,,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,828,225"
South East Region Homecare,431 Racecourse Road,,MORNINGTON,VIC,3931,Southern Metro,Home Care Places,,,25,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$231,435"
South East Regional Community Health Service,22 Sturt Street,,MOUNT GAMBIER,SA,5290,South East,Home Care Places,,40,8,,Country Health SA Local Health Network Incorporated,State Government,Outer Regional Australia,"$507,938"
South Eastern Community Care EACH,57 Cole Street,,SORELL,TAS,7172,Southern,Home Care Places,,,13,,South Eastern Nursing & Home Care Association Inc,Charitable,Inner Regional Australia,"$602,381"
South Eastern Community Services - EACH,226 York Street,,SALE,VIC,3850,Gippsland,Home Care Places,,,8,,Villa Maria Society,Charitable,Inner Regional Australia,"$371,217"
South Eastern Community Services - EACHD,226 York Street,,SALE,VIC,3850,Gippsland,Home Care Places,,,5,,Villa Maria Society,Charitable,Inner Regional Australia,"$253,788"
South Eastern Nursing & Home Care Association Inc Community Aged Care Packages,57 Cole Street,,SORELL,TAS,7172,Southern,Home Care Places,,56,,,South Eastern Nursing & Home Care Association Inc,Charitable,Inner Regional Australia,"$723,950"
South Port Community Residential Home,18-30 Richardson Street,,ALBERT PARK,VIC,3206,Southern Metro,Residential,60,,,,South Port Community Residential Home Inc,Community Based,Major Cities of Australia,"$3,375,686"
South West Brisbane Community Options Project,22 Boron Street,,SUMNER,QLD,4074,Brisbane South,Home Care Places,,60,,,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,Religious,Major Cities of Australia,"$726,239"
South West Healthcare Transition Care Program,27-49 Ryot Street,,WARRNAMBOOL,VIC,3280,Barwon-South Western,Transition Care,,,,20,Department of Health,State Government,Inner Regional Australia,"$1,046,688"
South West Rocks Nursing Centre,108-110 Gregory Street,,SOUTH WEST ROCKS,NSW,2431,Mid North Coast,Residential,80,,,,Profke Holdings Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$4,006,435"
South West Transition Care Service,3 George Street,,BUNBURY,WA,6230,South West,Transition Care,,,,25,Government of Western Australia,State Government,Inner Regional Australia,"$1,322,495"
South Western Residential Transitional Aged Care Unit,The Uniting Centre,41 Meredith Street,BANKSTOWN,NSW,2200,South West Sydney,Transition Care,,,,13,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,"$884,007"
South Western Zone Transition Aged Care Service,elizabeth Drive,,LIVERPOOL,NSW,2170,South West Sydney,Transition Care,,,,99,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,"$6,361,219"
Southcare Packaged Care CACP,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care Places,,56,,,Southcare Inc,Charitable,Major Cities of Australia,"$569,587"
Southcare Packaged Care EACH,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care Places,,,15,,Southcare Inc,Charitable,Major Cities of Australia,"$669,404"
Southcare Packaged Care EACH D,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care Places,,,5,,Southcare Inc,Charitable,Major Cities of Australia,"$246,828"
Southern Adelaide Health Service Transition Care Program,7 LAFFER Drive,,BEDFORD PARK,SA,5042,Metropolitan South,Transition Care,,,,80,Department of Health,State Government,Major Cities of Australia,"$4,868,638"
Southern Care at Home,4-8 Angas Street,,KENT TOWN,SA,5067,Metropolitan South,Home Care Places,,93,14,,Anglicare SA Inc,Religious,Major Cities of Australia,"$1,307,876"
Southern Cross Apartments - Caves Beach,80 Caves Beach Road,,CAVES BEACH,NSW,2281,Hunter,Residential,50,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$2,777,982"
Southern Cross Apartments Daceyville,1-3 Gwea Avenue,,DACEYVILLE,NSW,2032,South East Sydney,Residential,58,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$3,780,121"
Southern Cross Apartments Greystanes,5 White Gum Place,,GREYSTANES,NSW,2145,Western Sydney,Residential,40,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$2,324,769"
Southern Cross Apartments Lavington,286 Warren Street,,LAVINGTON,NSW,2641,Riverina/Murray,Residential,24,,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,"$816,737"
Southern Cross Apartments Marsfield,16 Vincentia Street,,MARSFIELD,NSW,2122,Northern Sydney,Residential,40,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$2,603,826"
Southern Cross Apartments Moama,82 Regent Street,,MOAMA,NSW,2731,Riverina/Murray,Residential,56,,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,"$2,485,701"
Southern Cross Apartments North Turramurra,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Residential,113,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$6,167,298"
Southern Cross Apartments Parkes,2 Middleton Street,,PARKES,NSW,2870,Central West,Residential,42,,,,Southern Cross Care (NSW & ACT),Religious,Outer Regional Australia,"$2,311,715"
Southern Cross Apartments South Coogee,39 Gregory Street,,SOUTH COOGEE,NSW,2034,South East Sydney,Residential,41,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$2,079,501"
Southern Cross Assumption Villa,84 Brobenah Road,,LEETON,NSW,2705,Riverina/Murray,Residential,50,,,,Southern Cross Care (NSW & ACT),Religious,Outer Regional Australia,"$2,535,475"
Southern Cross Campbell Apartments,2 White Crescent,,CAMPBELL,ACT,2612,ACT,Residential,40,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$2,124,931"
Southern Cross Care (Tas) Community Care North,196-224 Low Head Road,,LOW HEAD,TAS,7253,Northern,Home Care Places,,21,7,,Southern Cross Care (Tas) Inc,Religious,Outer Regional Australia,"$309,421"
Southern Cross Care (Tas) Community Care North West,29 Wragg Street,,SOMERSET,TAS,7322,North Western,Home Care Places,,64,,,Southern Cross Care (Tas) Inc,Religious,Outer Regional Australia,"$883,039"
Southern Cross Care (Tas) Community Care South,85  CREEK ROAD,,NEW TOWN,TAS,7008,Southern,Home Care Places,,43,,,Southern Cross Care (Tas) Inc,Religious,Inner Regional Australia,"$597,272"
Southern Cross Care (Tas) EACH South,85  CREEK ROAD,,NEW TOWN,TAS,7008,Southern,Home Care Places,,,4,,Southern Cross Care (Tas) Inc,Religious,Inner Regional Australia,"$184,272"
Southern Cross Care (Tas) EACHD North,196-244 Low Head Road,,LOW HEAD,TAS,7253,Northern,Home Care Places,,,2,,Southern Cross Care (Tas) Inc,Religious,Outer Regional Australia,"$93,667"
Southern Cross Care (Tas) EACHD North West,29 Wragg Street,,SOMERSET,TAS,7322,North Western,Home Care Places,,,10,,Southern Cross Care (Tas) Inc,Religious,Outer Regional Australia,"$483,366"
Southern Cross Care (Tas) EACHD South,85  CREEK ROAD,,NEW TOWN,TAS,7008,Southern,Home Care Places,,,4,,Southern Cross Care (Tas) Inc,Religious,Inner Regional Australia,"$185,836"
Southern Cross Care (Vic) - Ave Maria Community Village,25 Graham Street,,SHEPPARTON,VIC,3630,Hume,Home Care Places,,10,10,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$532,777"
Southern Cross Care (Vic) Barwon-South Western,Suite 7 1st Floor,267 Ryrie Street,GEELONG,VIC,3220,Barwon-South Western,Home Care Places,,10,7,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$362,445"
Southern Cross Care (Vic) Loddon Mallee,Fenaughty Street,,KYABRAM,VIC,3620,Loddon-Mallee,Home Care Places,,13,3,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$252,198"
Southern Cross Care (Vic) Northern Region,2/677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care Places,,4,10,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$413,576"
Southern Cross Care (Vic) Western Region,677 The Boulevard -,,EAGLEMONT,VIC,3084,Western Metro,Home Care Places,,22,8,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$493,644"
Southern Cross Care Allora,1 Herbert Street,,ALLORA,QLD,4362,Darling Downs,Residential,21,,,,Southern Cross Care (QLD) Inc,Religious,Inner Regional Australia,"$1,307,085"
Southern Cross Care Allora - Homestead,62 Forde Street,,ALLORA,QLD,4362,Darling Downs,Residential,29,,,,Southern Cross Care (QLD) Inc,Religious,Inner Regional Australia,"$1,500,840"
Southern Cross Care Chinchilla - Illoura Village,22-30 Zeller Street,,CHINCHILLA,QLD,4413,Darling Downs,Residential,66,,,,Southern Cross Care (QLD) Inc,Religious,Outer Regional Australia,"$3,077,103"
Southern Cross Care Community Services LRV CACP,62 Sanders Street,,UPPER MT GRAVATT,QLD,4122,Logan River Valley,Home Care Places,,40,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$386,877"
Southern Cross Care Community Services LRV EACH,62 Sanders Street,,UPPER MT GRAVATT,QLD,4122,Logan River Valley,Home Care Places,,,10,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$429,832"
Southern Cross Care Community Services LRV EACH D,62 Sanders Street,,UPPER MT GRAVATT,QLD,4122,Logan River Valley,Home Care Places,,,10,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$457,525"
Southern Cross Care Community Services Sth Coast CACP,12/34-36 Glenferrie Drive,,ROBINA,QLD,4226,South Coast,Home Care Places,,41,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$456,801"
Southern Cross Care Community Services Sth Coast EACH,Suite 12,34-36 Glenferrie Drive,ROBINA,QLD,4226,South Coast,Home Care Places,,,10,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$461,908"
Southern Cross Care Community Services Sth Coast EACH D,Suite 12,34-36 Glenferrie Drive,ROBINA,QLD,4226,South Coast,Home Care Places,,,10,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$504,023"
Southern Cross Care Dandenong,82 McCrae Street,,DANDENONG,VIC,3175,Southern Metro,Residential,60,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$3,540,809"
Southern Cross Care Edens Landing - Connolly Court,20-24 Loane Drive,,EDENS LANDING,QLD,4207,Logan River Valley,Residential,64,,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$3,671,737"
Southern Cross Care Facility Caloundra,53  VILLAGE WAY,,LITTLE MOUNTAIN,QLD,4551,Sunshine Coast,Residential,103,,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$6,080,277"
Southern Cross Care Holland Park - Duhig Village,85 seville Road,,HOLLAND PARK,QLD,4121,Brisbane South,Residential,142,,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$9,160,811"
Southern Cross Care Keon Park,15  TUNALEY PARADE,,RESERVOIR,VIC,3073,Northern Metro,Residential,96,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$5,925,254"
Southern Cross Care Lynbrook,500 Evans Road,,LYNBROOK,VIC,3975,Southern Metro,Residential,96,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$6,822,387"
Southern Cross Care Murgon - Castra,2 Cooper Street,,MURGON,QLD,4605,Wide Bay,Residential,60,,,,Southern Cross Care (QLD) Inc,Religious,Outer Regional Australia,"$3,454,685"
Southern Cross Care Nanango - Karinya,39 Brisbane Street,,NANANGO,QLD,4615,Wide Bay,Residential,41,,,,Southern Cross Care (QLD) Inc,Religious,Inner Regional Australia,"$2,160,852"
Southern Cross Care Newport,288 Melbourne Road,,NEWPORT,VIC,3015,Western Metro,Residential,37,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$2,163,319"
Southern Cross Care Raceview - St Mary's,129 Wildey Street,,RACEVIEW,QLD,4305,West Moreton,Residential,72,,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$4,707,434"
Southern Cross Care Rosebud,1497 Point Nepean Road,,ROSEBUD,VIC,3939,Southern Metro,Residential,50,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$3,048,376"
Southern Cross Care Shepparton,25 Graham Street,,SHEPPARTON,VIC,3630,Hume,Residential,91,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$5,648,652"
Southern Cross Care Springvale,472 Springvale Road,,SPRINGVALE SOUTH,VIC,3172,Southern Metro,Residential,42,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$3,039,440"
Southern Cross Care Stretton Gardens,209-225 Illaweena Street,,DREWVALE,QLD,4116,Brisbane South,Residential,60,,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$3,957,119"
Southern Cross Care Taroom - Leichhardt Villa,4 MCCORLEY Court,,TAROOM,QLD,4420,Fitzroy,Residential,29,,,,Southern Cross Care (QLD) Inc,Religious,Remote Australia,"$1,537,515"
Southern Cross Care Templestowe,16 Herlihys Road,,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,52,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$3,165,749"
Southern Cross Community Care - Blacktown,St Francis Apartments,122 Hyatts Road,PLUMPTON,NSW,2761,Western Sydney,Home Care Places,,20,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$210,558"
Southern Cross Community Care - Botany Randwick,216 Maroubra Road,,MAROUBRA,NSW,2035,South East Sydney,Home Care Places,,38,17,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$359,426"
Southern Cross Community Care - Casino,66 Centre Street,,CASINO,NSW,2470,Far North Coast,Home Care Places,,29,9,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,"$250,588"
Southern Cross Community Care - Holroyd,41 Barcom Street,,MERRYLANDS,NSW,2160,Western Sydney,Home Care Places,,27,11,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$374,484"
Southern Cross Community Care - Hunter,7 Bias Avenue,,BATEAU BAY,NSW,2261,Hunter,Home Care Places,,13,10,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,n.a.
Southern Cross Community Care - Murray River,59 Napier Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Home Care Places,,39,7,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,"$392,463"
Southern Cross Community Care - Nepean,122 Hyatts Road,,PLUMPTON,NSW,2761,Nepean,Home Care Places,,14,12,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,n.a.
Southern Cross Community Care - Northern Sydney,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Home Care Places,,8,23,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,n.a.
Southern Cross Community Care - Parkes,"Shop 11-12, Village Square",167-169 Clarinda Street,PARKES,NSW,2870,Central West,Home Care Places,,24,5,,Southern Cross Care (NSW & ACT),Religious,Outer Regional Australia,"$268,058"
Southern Cross Community Care - South West Sydney,45 Barcom Street,,MERRYLANDS,NSW,2160,South West Sydney,Home Care Places,,10,13,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,n.a.
Southern Cross Community Care Servcies CACP (CASA Program),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan North,Home Care Places,,58,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$343,737"
Southern Cross Community Care Services CACP (Broome),20 Dickson Drive,,BROOME,WA,6725,Kimberley,Home Care Places,,16,,,Southern Cross Care (WA) Inc,Religious,Remote Australia,"$219,280"
Southern Cross Community Care Services CACP (North Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan East,Home Care Places,,58,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$392,531"
Southern Cross Community Care Services CACP (South East Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care Places,,72,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$367,582"
Southern Cross Community Care Services CACP (South West Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South West,Home Care Places,,80,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$344,257"
Southern Cross Community Care Services EACH (Broome),20 Dickson Drive,,BROOME,WA,6725,Kimberley,Home Care Places,,,12,,Southern Cross Care (WA) Inc,Religious,Remote Australia,"$572,235"
Southern Cross Community Care Services EACH (Bunbury),102 Beach Road,,BUNBURY,WA,6230,South West,Home Care Places,,,30,,Southern Cross Care (WA) Inc,Religious,Inner Regional Australia,"$1,417,076"
Southern Cross Community Care Services EACH (CASA Program),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan East,Home Care Places,,,12,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$576,445"
Southern Cross Community Care Services EACH (Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan East,Home Care Places,,,139,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$6,196,942"
Southern Cross Community Care Services EACH Dementia (Broome),20 Dickson Dve,,BROOME,WA,6725,Kimberley,Home Care Places,,,5,,Southern Cross Care (WA) Inc,Religious,Remote Australia,"$166,597"
Southern Cross Community Care Services EACH Dementia (Bunbury),102 Beach Road,,BUNBURY,WA,6230,South West,Home Care Places,,,31,,Southern Cross Care (WA) Inc,Religious,Inner Regional Australia,"$936,163"
Southern Cross Community Care Services EACH Dementia Program,15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South West,Home Care Places,,,108,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$3,974,480"
"Southern Cross Community Care, Gosford",7 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Home Care Places,,40,12,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$454,687"
Southern Cross Cootamundra Retirement Village,15  SCOTT AVENUE,,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,55,,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,"$2,896,832"
Southern Cross Currawarna Apartments,1 Joseph Street,,BOMBALA,NSW,2632,Southern Highlands,Residential,33,,,,Southern Cross Care (NSW & ACT),Religious,Outer Regional Australia,"$1,807,726"
Southern Cross Homes Fullarton Hostel,345 Fullarton Road,,FULLARTON,SA,5063,Metropolitan East,Residential,60,,,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,"$3,265,535"
Southern Cross John Woodward Apartments,91  BARCOM STREET,,MERRYLANDS WEST,NSW,2160,Western Sydney,Residential,135,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,"$7,880,511"
Southern Cross Karinya Apartments,125 Guy Street,,COROWA,NSW,2646,Riverina/Murray,Residential,84,,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,"$3,246,655"
